category,subcategory,nudge,blogs
Purpose,,"Often we get stuck in wondering, ""what's my purpose?"" We tend to focus on what we are supposed to do vs. who we are. The truth is who we are turns into, what we do. Think of them as interchangeable. Think of what you do as an expression of who you are. If you want to find your purpose, imagine yourself doing certain things and take notes on what makes you smile. If you imagine yourself as a vet, then you are probably a helper or nurturer. If you imagine yourself as a pro surfer, then you are probably a free spirit. If you imagine yourself as a CEO, then you are probably a leader. Take a moment and dream for a minute and see yourself doing something that you think you would love. Take note on what makes you smile and acknowledge how you feel as you visualize yourself doing that thing. The truth is that you don't need to be a vet to help, or a surfer to feel free or a CEO to lead. Our mind leads us to the thing that evokes the feeling, when the feeling is all that matters. Think of your purpose, as becoming a feeling. Allow the universe to take care of what it actually looks like, and just focus on becoming the feeling. Be nurturing, or free or leading in whatever you do. How you do something is more important than what you do. Being something, can happen today and when you start the practice of being in the feeling of what you want, then coincidentally what you do in this world will become the same.",
Purpose,Purpose,"The purpose of an axe is to cut wood...or is it? What if that axe is in your garage on a windy day and you use it to hold the door open? What if years later you use that same axe as a trellis for a flowering vine to grow in your garden? What if years later a fire fighter uses that axe out of your garden to open the front door of your neighbor's burning house? Purpose meanders beyond any hard and fast definition as time goes on. Your purpose is to be you at any given moment, and in any given moment the way you fit is your purpose. Gutsy Writer- Nicole Sacchitella",
Purpose,Purpose,"The whole is greater than the sum of its parts. If you look at any organism every part works together in its own way to create a harmony and balance. The purpose of the heart is to pump blood to get oxygen to all of the cells. The purpose of the mitochondria to produce energy to feed all of the cells so that they can continue to fulfill their purpose. The purpose of the skin is to protect all of the interior workings of the body. On and on, each of these parts works perfectly in harmony with the others. There is no purpose too great or too small, for each part works together to sustain the wholeness of the universe. Gutsy Writer- Nicole Sacchitella",
Purpose,Purpose,"We can get stuck on 'purpose' preceding 'the thing itself,' when really 'purpose' is what happens after 'the thing' comes into being. A tree did not start producing oxygen and shade and shelter and wood because that was its purpose, instead those things came out of its being. Your purpose is to come into being, to nurture every part of you and from your being you discover how you fit, how you help, and how you naturally add to the synergy of all of creation. Gutsy Writer- Nicole Sacchitella",
Purpose,Purpose,"Never was there a tree in history that tried to be anything other than itself. An acorn never grew to be a palm, a pine never grew from an apple seed. One day each grew, effortlessly with all of the means it had to create its own bark, make its leaves, and grow its roots. Your purpose is to be effortlessly you. Gutsy Writer- Nicole Sacchitella",
Relationships,Relationships," The most challenging parts of a relationship, the things we fear or resist the most, are the keys to the door that brings us closer to ourselves and to that person. Gutsy Writer- Nicole Sacchitella",
Relationships,Relationships,"Your soul wanted to learn something from every single person who has come into your life. Committing to any relationship first and foremost starts with listening to the messages and feelings you have when you are around that person, by honoring your feelings first any relationship will be an energetic success. Gutsy Writer- Nicole Sacchitella",
Relationships,Relationships,"The truth is that every relationship you have is a reflection of the relationship you have to yourself. Unconditional love, trust, commitment, patience, friendship, appreciation and joy in a relationship all start with you. You are the means to your own end, the people in your life are here to remind you of that. Gutsy Writer -Nicole Sacchitella",
Relationships,Relationships,"Sometimes we imagine the love in a relationship moving outward from ourselves, when really it starts with how we love within. Gutsy Writer- Nicole Sacchitella",
Relationships,Relationships,"There is a great African proverb that says "" If you want to go fast, go alone. If you want to go far, go together"". Its not always easy, but a collective effort can take you farther AND there is nothing wrong with going fast. Which one feels true for you? Gutsy Writer - Julie Cobb",
Relationships,Arguments,"Feeling conflicted or frustrated in this argument? Ask yourself, is it more important to be right or kind in this moment... in this relationship? Gutsy writer - Tyler Stroebel",
Relationships,Relationships,"In a relationships we create an energy exchange pattern with another person. Some of us are ""givers"" in some relationships sometimes and some of us are ""receivers"" in other relationships other times. We are not the passive recipients of other people's energy however, instead we work together to co-create an energy dynamic with another person. We teach other people how to treat us. If you want something different out of your relationship your must first hold your energy differently, this gives the other person's energy room to respond. Gutsy Writer- Nicole Sacchitella",
Relationships,Relationships,"Every part of every relationship with every person in every moment is sacred. We are energy-beings who are constantly attracting people and situations to help us heal and expand ourselves. Notice what you notice about other people, what feels good to your and what doesn't and see how that information is helping you in that very moment to love yourself even more. Gutsy Writer- Nicole Sacchitella",
Relationships,Relationships,"The connotation of the word ""soulmate"" infers that there is only one. Most people ask themselves ""When will I meet my soulmate?"" The truth is we have lots of soul mates and they come in many different forms. If we start to rethink our relationships as ""opportunities to learn lessons and reflect on ourselves"" then suddenly everyone who is in our life is of equal importance, they have all come into our lives to expand and enrich our soul. Gutsy Writer- Nicole Sacchitella",
RELATIONSHIPS,"LOVE, WORK","No matter what the dynamic of the relationship, you have a mirror. If you admire that person, they are a reflection of you. If that person triggers you, they are a reflection of you. Just know that if they are triggering you, there is something that you can heal within yourself based on that trigger. Maybe the trigger is trust or control. Regardless, the actual trigger, look at where within your life might you be controlling or not trusting, even if it doesn't look the same as the person triggering you.",
Relationships,"RELATIONSHIPS, ",Imagine creation to be one giant mirror which broke apart into an infinite number of pieces so that It could witness itself. Every relationship you enter into offers you a new reflective surface for you to see yourself and the other person. The things you love about the other person are you. The things that drive you crazy about the other person are you too. Gutsy Writer -Nicole Sacchitella,
Relationships,Relationships,"Being of service to others often is our first impulse, and it is natural to put ourselves and our own needs on the back burner. Have you ever noticed that on airplanes they remind passengers to secure their own oxygen first in the event of a crisis, before helping others? To be the most effective, the most helpful, the most of service we must make sure that we are taken care of first, this not only sets and example for others, but is also ensures that our helpful nature comes from a place of an overabundance-- we will feel so good we can't help but be helpful to someone else. Gutsy Writer- Nicole Sacchitella",
Relationships,Relationships,"We attract relationships that help us heal ourselves. If we find we are in a pattern of trying or wanting to heal someone else, it is simply because we are trying to heal something within ourselves. Examine what it is about the other person we want to help or fix or support or change, and see how that corresponds to yourself. Other people are mirrors for our own being, we see in them what we have contained in ourselves. Gutsy Writer - Nicole Sacchitella",
Relationships,Relationships,"We think of relationships as a way to get closer to other people, when really they are a way for us to get closer to ourselves. Gutsy Writer- Nicole Sacchitella",
"RELATIONSHIPS, PATTERNS","RELATIONSHIPS, PATTERNS","Patterns are a funny thing! A great example is in relationships and the person who keeps attracting the same kind of person. You will keep attracting that same person until you can become a different person in the relationship. Patterns will keep showing up until you don't match the energy anymore. So let the pattern, show up, but what can you do differently. How can you change who you are? Gutsy Writer - Julie Cobb",
RESISTANCE,"RESISTANCE, MANIFESTING, ","The energy of resistance is powerful. Think of resistance as control and think of control as a closed door. Do you want something in this world but are struggling to get it? It is a lot easier for the universe to usher something though an open door versus a closed door. Think of acceptance as the open door. Think about where in your life you resist yourself. For example: Maybe you wanted to buy an outfit, but told yourself it's too expensive.That is resistance. Regardless, find where you tell yourself you cant have what you want and practice doing the opposite. Gutsy Writer - Julie Cobb",
Resistance,,"The first step to having what you want, is to stop resisting what you have. Accept your present moment and all of the learning that has come with it. Accepting it is NOT telling the universe that you want it. It is saying ""I acknowledge that I am experiencing what I don't want, in order to know what I do."" Experience of what we don't want is important to know what we do want. Acceptance is powerful, resistance is weak and contrast is needed to know what we want next. Gutsy writer - Julie Cobb ",
SACRIFICE,"sacrifice, MANIFESTING","Often as kids we learn to sacrifice. Like, you have to work hard to be rich or if you want to serve or help people, you have to be poor. Sacrifice is the idea that you have to give up one thing to get another. Maybe the universe does not act like that. Maybe there is enough energy in this universe for you to have everything that you want. Re examine what you want without limitation or sacrifice and then see what happens. Gutsy Writer - Julie Cobb",
SUCCESS,,"Worried you are not going to be successful? First examine how you have been defining success. Is it societies definition? Your parents definition? Now create your own definition that encompasses what matters to you, and start chasing it. Who wants to do what your parents did, anyway? Gutsy writer - Julie Cobb",
SUCCESS,SUCCESS,"How do you know what makes you happy, unless you try it? We often get caught trying to think about what we might be good at or what we might like. Go become the master of experience, maybe try everything you have never tried before and let that formulate your path! success = Happiness. Gutsy Writer - Julie Cobb",
success,,"First you need to define what success means to you, in order to have it. Otherwise, you are chasing someone elses dreams. Gutsy writer - Julie Cobb",
TRUST,TRUST,"I would have a lot of dimes, if I got a dime for everytime I heard someone say ""I should have trusted my intuition"". Your first thought, was right. Regardless, of whether you thought you made it up or it came to you. Your first thought was right. Gutsy Writer - Julie Cobb",
TRUST,,"We often get caught up in giving power to other people or things or placing trust within them. IE: I trust my boss will give me that promotion or I trust my partner wont cheat on me. In reality, trust has nothing to do with someone else or something else. Trust means that you trust yourself enough to know that no matter what happens in this world, you will be OK. Gutsy writer - Julie Cobb",
Trust,Trust,"If you think you're right, chances are, you are. Gutsy writer - Tyler Stroebel",
Trust,,"You can only trust someone else to the extent that you can trust yourself. If you find you are not trusting someone or something or even a process, then look at there you are not trusting yourself. Gutsy writer - Julie Cobb",
Trust/manifesting,Trust/manifesting,"If you want to feel hopeful, allow for it to manifest. Find opportunities for hope to blossom. Allow for expansion. Seek other options or alternatives to present themselves. Look in places you haven't yet looked or didn't know existed. It will happen! Gutsy writer - Tyler Stroebel",
Truth,TRUTH,"Lying to ourselves and others feels like building a house in the clouds, tip-toeing around so as not to fall from our construction. Though it may seem difficult, being truthful is simpler because you are walking on the ground of your reality. Unlike a cloud, the ground can hold you up. Gutsy Writer -Nicole Sacchitella",
TRUTH,TRUTH,"Philosophers, scientists, researchers, detectives and lawyers have jobs because ""The Truth"" is up for debate. Your Truth however, will always feel right to you no matter what the discussion. Gutsy Writer - Nicole Sacchitella",
TRUTH,TRUTH,"Each moment has a truth to each of us, but forcing it to remain the same moment to moment and person to person would be false. Gutsy Writer -Nicole Sacchitella",
Truth,,"Truth is subjective. Plain and simple. Your truth is different than someone elses. You might feel like someone else is lying, but they might not actually feel like they are lying. Or you might feel like you love someone and they don't love you back. Maybe they do love you, but it is their definition of love. Point being. Truth is subjective and you only need to find and define your own in this lifetime. Gutsy writer - Julie Cobb",
Purpose,,"Think of your purpose, as becoming a feeling. Allow the universe to take care of what it actually looks like, and just focus on becoming the feeling. Be nurturing, or free or leading in whatever you do. How you do something is more important than what you do. Being something, can happen today and when you start the practice of being in the feeling of what you want, then coincidentally what you do in this world will become the same.",
Purpose,"Purpose, life, change","Real change will happen when you start to idealize the potential of yourself, verses idealizing the accomplishments of someone else. You are not aspiring to be a modern day Jesus, Budda, Mohammad or whatever. You ARE a modern day (insert your name here). Gutsy writer - Julie Cobb",
